"frequency";"r dBS12";"i dBS12"
1e+08;-0.0659868;0
1.5e+08;-0.066924;0
2e+08;-0.0679663;0
2.5e+08;-0.069101;0
3e+08;-0.0703255;0
3.5e+08;-0.0716332;0
4e+08;-0.0730344;0
4.5e+08;-0.0745121;0
5e+08;-0.07606;0
5.5e+08;-0.0776834;0
6e+08;-0.0793661;0
6.5e+08;-0.0811237;0
7e+08;-0.0829343;0
7.5e+08;-0.0848065;0
8e+08;-0.0867315;0
8.5e+08;-0.0887133;0
9e+08;-0.0907361;0
9.5e+08;-0.0928121;0
1e+09;-0.0949323;0
1.05e+09;-0.0970785;0
1.1e+09;-0.0992821;0
1.15e+09;-0.101516;0
1.2e+09;-0.103786;0
1.25e+09;-0.106101;0
1.3e+09;-0.108437;0
1.35e+09;-0.110818;0
1.4e+09;-0.113216;0
1.45e+09;-0.115649;0
1.5e+09;-0.118116;0
1.55e+09;-0.120592;0
1.6e+09;-0.123113;0
1.65e+09;-0.12566;0
1.7e+09;-0.128224;0
1.75e+09;-0.130812;0
1.8e+09;-0.133432;0
1.85e+09;-0.136079;0
1.9e+09;-0.138735;0
1.95e+09;-0.141426;0
2e+09;-0.144134;0
2.05e+09;-0.146867;0
2.1e+09;-0.149619;0
2.15e+09;-0.152405;0
2.2e+09;-0.155197;0
2.25e+09;-0.158018;0
2.3e+09;-0.160864;0
2.35e+09;-0.163732;0
2.4e+09;-0.166617;0
2.45e+09;-0.169522;0
2.5e+09;-0.172444;0
2.55e+09;-0.175394;0
2.6e+09;-0.178361;0
2.65e+09;-0.181344;0
2.7e+09;-0.184354;0
2.75e+09;-0.187375;0
2.8e+09;-0.190413;0
2.85e+09;-0.193488;0
2.9e+09;-0.196565;0
2.95e+09;-0.19966;0
3e+09;-0.202784;0
3.05e+09;-0.205908;0
3.1e+09;-0.209071;0
3.15e+09;-0.212235;0
3.2e+09;-0.215425;0
3.25e+09;-0.218623;0
3.3e+09;-0.221837;0
3.35e+09;-0.22508;0
3.4e+09;-0.228321;0
3.45e+09;-0.231584;0
3.5e+09;-0.234863;0
3.55e+09;-0.238147;0
3.6e+09;-0.241456;0
3.65e+09;-0.244774;0
3.7e+09;-0.248102;0
3.75e+09;-0.25144;0
3.8e+09;-0.254792;0
3.85e+09;-0.258159;0
3.9e+09;-0.26153;0
3.95e+09;-0.264915;0
4e+09;-0.268311;0
4.05e+09;-0.271719;0
4.1e+09;-0.275123;0
4.15e+09;-0.278547;0
4.2e+09;-0.281982;0
4.25e+09;-0.285418;0
4.3e+09;-0.28887;0
4.35e+09;-0.292315;0
4.4e+09;-0.295775;0
4.45e+09;-0.299246;0
4.5e+09;-0.30271;0
4.55e+09;-0.306186;0
4.6e+09;-0.309665;0
4.65e+09;-0.313151;0
4.7e+09;-0.316646;0
4.75e+09;-0.320143;0
4.8e+09;-0.323639;0
4.85e+09;-0.327139;0
4.9e+09;-0.330641;0
4.95e+09;-0.334161;0
5e+09;-0.33767;0
5.05e+09;-0.341175;0
5.1e+09;-0.3447;0
5.15e+09;-0.348205;0
5.2e+09;-0.351726;0
5.25e+09;-0.355247;0
5.3e+09;-0.358767;0
5.35e+09;-0.362285;0
5.4e+09;-0.365805;0
5.45e+09;-0.369333;0
5.5e+09;-0.372848;0
5.55e+09;-0.376373;0
5.6e+09;-0.379896;0
5.65e+09;-0.383404;0
5.7e+09;-0.386922;0
5.75e+09;-0.39044;0
5.8e+09;-0.393952;0
5.85e+09;-0.397478;0
5.9e+09;-0.400985;0
5.95e+09;-0.404494;0
6e+09;-0.408012;0
6.05e+09;-0.411512;0
6.1e+09;-0.415003;0
6.15e+09;-0.418527;0
6.2e+09;-0.422023;0
6.25e+09;-0.425518;0
6.3e+09;-0.429005;0
6.35e+09;-0.432498;0
6.4e+09;-0.435984;0
6.45e+09;-0.439478;0
6.5e+09;-0.442954;0
6.55e+09;-0.446428;0
6.6e+09;-0.4499;0
6.65e+09;-0.453376;0
6.7e+09;-0.456841;0
6.75e+09;-0.4603;0
6.8e+09;-0.463768;0
6.85e+09;-0.467219;0
6.9e+09;-0.470667;0
6.95e+09;-0.474116;0
7e+09;-0.477556;0
7.05e+09;-0.480995;0
7.1e+09;-0.484431;0
7.15e+09;-0.487861;0
7.2e+09;-0.491292;0
7.25e+09;-0.494712;0
7.3e+09;-0.498127;0
7.35e+09;-0.501541;0
7.4e+09;-0.504951;0
7.45e+09;-0.508357;0
7.5e+09;-0.511755;0
7.55e+09;-0.515146;0
7.6e+09;-0.518534;0
7.65e+09;-0.521918;0
7.7e+09;-0.525293;0
7.75e+09;-0.528672;0
7.8e+09;-0.53205;0
7.85e+09;-0.535406;0
7.9e+09;-0.538766;0
7.95e+09;-0.542126;0
8e+09;-0.545465;0
8.05e+09;-0.548821;0
8.1e+09;-0.552158;0
8.15e+09;-0.555491;0
8.2e+09;-0.558819;0
8.25e+09;-0.562145;0
8.3e+09;-0.56547;0
8.35e+09;-0.56878;0
8.4e+09;-0.572084;0
8.45e+09;-0.575392;0
8.5e+09;-0.578695;0
8.55e+09;-0.581982;0
8.6e+09;-0.58528;0
8.65e+09;-0.588559;0
8.7e+09;-0.591846;0
8.75e+09;-0.595107;0
8.8e+09;-0.598378;0
8.85e+09;-0.601649;0
8.9e+09;-0.604898;0
8.95e+09;-0.608148;0
9e+09;-0.611405;0
9.05e+09;-0.61464;0
9.1e+09;-0.617872;0
9.15e+09;-0.621109;0
9.2e+09;-0.624335;0
9.25e+09;-0.627553;0
9.3e+09;-0.630771;0
9.35e+09;-0.633977;0
9.4e+09;-0.637189;0
9.45e+09;-0.640385;0
9.5e+09;-0.643572;0
9.55e+09;-0.646769;0
9.6e+09;-0.649958;0
9.65e+09;-0.653134;0
9.7e+09;-0.656308;0
9.75e+09;-0.659475;0
9.8e+09;-0.662644;0
9.85e+09;-0.665801;0
9.9e+09;-0.668946;0
9.95e+09;-0.672109;0
1e+10;-0.675248;0
